Prozess,Anforderungs-nummer,Bereits implementiert,Umsetzungskonzept,Abstimmung 14.04.2026,Anforderungstext,Funktionalität von Asneinl4Win,Besprechungsnotizen,Entscheidung,Schätzung in PT min ,Schätzung in PT max,Schätzung in PT min ,Schätzung in PT max,bereits gemacht ,Confidence Schulnote,,
P-SL-PH,A-SL-PH-01,,,"X
(nur ganze Pfandzahlungen)","A-SL-PH-01: Es muss möglich sein, im Asylverwaltungsprogramm noch zu leistende Pfand-(Teil-)Zahlungen zu erfassen. Dabei sollen Pfandhöhe, Identität der/des Bewohner:in, Datum, Sachbearbeiter:in/Nutzer:in und Beschreibung des Pfandgegenstands erfasst werden.",Teilweise,Keine Teilbeträge ,Ohne Teilbeträge umsetzen ,3,5,3,5,,1,,
P-SL-PH,A-SL-PH-03,,,"X
(nur ganze Pfandzahlungen)",A-SL-PH-03: Die Bewohner:in soll das geforderte Pfand in Form einer Einmalzahlung über den Prozess A-SL-ED im Kapitel 4.6.8 begleichen können.,Teilweise,Keine Teilbeträge ,Ohne Teilbeträge umsetzen ,2,3,2,3,,1,,
P-SL-PZ,A-SL-PZ-01,,,X,A-SL-PZ-01: Die Pfand-Rückzahlung durch die AfA an eine Bewohner:in soll sich über das Asylverwaltungsprogramm durchführen lassen.,X,,,2,3,2,3,,2,,
P-SL-KA,A-SL-KA-01,,minimal,X,"A-SL-KA-01: Im Asylverwaltungsprogramm muss pro Tag ein oder mehrere Tagesabschlüsse für verschiedene Kassen sowie ein Gesamttagesabschluss erstellt werden können. Aus dem Tagesabschluss muss das Datum, die AfA, die Bezeichnung/Id der Kasse, der Kassenbestand Beginn, der Ist-Kassenbestand Ende, die Summe der Einzahlungen, die Summe der Auszahlungen, der Nutzer:innen-Name, der Kassenbestandsnachweis (Detaillierte Zusammensetzung des Kassen-Ist-Bestands), Jede Ein-/Auszahlung (Journal/Zeitbuch)",Teilweise,Asyl4Win bildet nicht die kompletten Anforderungen ab. Ist-Kassenbestand fehlt.,Im Anhang wurde eine Tagesabschlussliste geliefert ,8,10,3,5,,6,Ist kein Tagesabschluss sonder eine Transaktionsliste ,Beispieldatei erhalten 
P-SL-KA,A-SL-KA-02,,minimal,X,A-SL-KA-02: Im Asylverwaltungsprogramm muss der IST-Bestand der Kasse beim Tagesabschluss erfasst werden können.,Nein,,,2,3,2,3,,2,,
P-SL-KA,A-SL-KA-03,,minimal,X,"A-SL-KA-03: Den verschiedenen Buchungsarten (Taschengeld, Arbeitsentgelt, etc.) muss basierend auf dem Stammdatenmanagement (vgl. P-SL-SM) je ein Titel zugeordnet werden, der im Tagesabschluss mit ausgegeben wird.",Teilweise,Buchungstitel nicht in Asyl4Win,Siehe Zeile 76,2,3,2,3,,4,,
P-SL-KA,A-SL-KA-11,,minimal,X,A-SL-KA-11: Alle bisherigen Tagesabschlüsse sollen im Asylverwaltungsprogramm gespeichert (Historisierung) werden und lassen sich jederzeit aufrufen.,X,,,3,5,3,5,,3,,
P-SL-KA,A-SL-KA-12,,,X,A-SL-KA-12: Der Tagesabschluss soll sich mit Hilfe der Vordruckfunktion (A-SYS-VD-02) exportieren lassen.,X,,,2,3,2,3,,2,,
P-SL-KA,A-SL-KA-13,,,X,A-SL-KA-13: Im Asylverwaltungsprogramm soll ein Monatskontoauszug zu allen Ein- und Auszahlungen aufgeschlüsselt nach Leistungsarten und Auszahlungsdatum erstellt werden können.,Teilweise,,"Alle in Amis erfassten Ein- und Auszahlungen mit ""Von - Bis Daten"" ausgeben ",3,5,2,3,,2,,
P-SL-KA,A-SL-KA-14,,,X,A-SL-KA-14: Im Asylverwaltungsprogramm soll ein Jahreskontoauszug zu allen Ein- und Auszahlungen aufgeschlüsselt nach Leistungsarten und Auszahlungsdatum erstellt werden können.,Teilweise,,,3,5,2,3,,2,,
P-SL-KA,A-SL-KA-15,,,X,"A-SL-KA-15: Alle getätigten Buchungen sollen sich nach Personen, Beträgen und Zeiträumen durch Such- und Selektionsfunktionen geschlossen oder getrennt auswerten lassen.",Teilweise,,Tabelle muss definiert werden zwischen Personenbeträgen und Zeiträumen und um welche Art der Leistung es sich handelt. Dann kann man das Filtern. ,10,15,5,8,,5,,
P-SL-KA,A-SL-KA-16,,,X,"A-SL-KA-16: Alle Tagesabschlüsse, Monats- und Jahreskontoauszüge sollen sich in eine .xlsx konvertieren lassen.",X,,,3,5,3,5,,3,,
P-SL-KA,A-SL-KA-17,,,X,"A-SL-KA-17: Alle Tagesabschlüsse, Monats- und Jahreskontoauszüge sollen sich in eine .pdf konvertieren lassen.",X,,,3,5,3,5,,3,,
G-SL-BK,A-SL-BK-01,,X,X,"A-SL-BK-01: Zu jedem/jeder Bewohner:in müssen die Informationen zu der zugehörigen Bezahlkarte hinterlegt werden, insbesondere die der Karte zugeordnete IBAN.",Teilweise,Bezahlkarte also kein Bestandteil Asyl4Win ,"Zumindest die Beträge, welche über die Bezahlkarte ausgezahlt werden müssen bei der entsprechenden Person erfasst werden.(Auswahl ob Bar oder über die Karte + Kartennummer) Nachweis bei der Karte wäre die erfolgreiche Überweisung pro Auszahlung - hochladen beim Bewohner. Angewiesene Auszahlungen gelten solange als bestätigt bis das Gegenteil vermerkt wird. Vorlage CSV Export für in einen Zeitraum X getätigte Auszahlungen ",2,3,2,3,,2,,
